,County,Total_ADUs_in_County,ADUs_in_Majority_POC_Tracts,Share_ADUs_in_Majority_POC_Tracts,Majority_POC_Tracts_Count,Total_Tracts_in_County,Share_Majority_POC_Tracts,State
0,Alameda County,6220,5608.0,90.2,278,343,81.0,California
1,Alpine County,54,0.0,0.0,0,1,0.0,California
2,Amador County,1640,90.0,5.5,1,10,10.0,California
3,Butte County,5185,567.0,10.9,7,54,13.0,California
4,Calaveras County,1060,0.0,0.0,0,14,0.0,California
5,Colusa County,1109,1109.0,100.0,6,6,100.0,California
6,Contra Costa County,3346,2310.0,69.0,127,213,59.599999999999994,California
7,Del Norte County,1329,10.0,0.8,1,8,12.5,California
8,El Dorado County,806,28.0,3.5000000000000004,3,54,5.6000000000000005,California
9,Fresno County,12128,11084.0,91.4,176,211,83.39999999999999,California
10,Glenn County,356,73.0,20.5,3,8,37.5,California
11,Humboldt County,2524,2.0,0.1,1,35,2.9000000000000004,California
12,Imperial County,1324,1281.0,96.8,38,40,95.0,California
13,Inyo County,612,0.0,0.0,0,6,0.0,California
14,Kern County,9594,6832.0,71.2,142,208,68.30000000000001,California
15,Kings County,2821,2484.0,88.1,23,27,85.2,California
16,Lake County,2031,209.0,10.299999999999999,2,21,9.5,California
17,Lassen County,157,51.0,32.5,1,9,11.1,California
18,Los Angeles County,43042,34340.0,79.80000000000001,1743,2230,78.2,California
19,Madera County,3179,2750.0,86.5,27,34,79.4,California
20,Marin County,996,239.0,24.0,9,58,15.5,California
21,Mariposa County,1559,0.0,0.0,0,6,0.0,California
22,Mendocino County,1434,116.0,8.1,3,23,13.0,California
23,Merced County,4436,4398.0,99.1,60,62,96.8,California
24,Modoc County,459,0.0,0.0,0,4,0.0,California
25,Mono County,1098,0.0,0.0,0,4,0.0,California
26,Monterey County,6019,5054.0,84.0,68,99,68.7,California
27,Napa County,341,169.0,49.6,15,38,39.5,California
28,Nevada County,1537,0.0,0.0,0,26,0.0,California
29,Orange County,13627,12181.0,89.4,303,440,68.89999999999999,California
30,Placer County,3553,1339.0,37.7,5,76,6.6000000000000005,California
31,Plumas County,890,0.0,0.0,0,7,0.0,California
32,Riverside County,12583,9030.0,71.8,314,401,78.3,California
33,Sacramento County,13321,9223.0,69.19999999999999,154,280,55.00000000000001,California
34,San Benito County,1083,601.0,55.50000000000001,9,12,75.0,California
35,San Bernardino County,16640,14164.0,85.1,342,421,81.2,California
36,San Diego County,24839,13571.0,54.6,354,674,52.5,California
37,San Francisco County,5823,4434.0,76.1,148,210,70.5,California
38,San Joaquin County,9617,8565.0,89.1,120,148,81.10000000000001,California
39,San Luis Obispo County,3387,1419.0,41.9,10,69,14.499999999999998,California
40,San Mateo County,4088,2925.0,71.6,101,151,66.9,California
41,Santa Barbara County,6020,2072.0,34.4,48,96,50.0,California
42,Santa Clara County,9275,6819.0,73.5,315,367,85.8,California
43,Santa Cruz County,752,137.0,18.2,18,65,27.700000000000003,California
44,Shasta County,1608,0.0,0.0,0,50,0.0,California
45,Sierra County,54,0.0,0.0,0,1,0.0,California
46,Siskiyou County,1745,211.0,12.1,1,16,6.2,California
47,Solano County,2386,1797.0,75.3,62,77,80.5,California
48,Sonoma County,3201,1583.0,49.5,26,114,22.8,California
49,Stanislaus County,7896,5339.0,67.60000000000001,79,104,76.0,California
50,Sutter County,685,592.0,86.4,13,19,68.4,California
51,Tehama County,1516,301.0,19.900000000000002,2,14,14.299999999999999,California
52,Trinity County,935,0.0,0.0,0,4,0.0,California
53,Tulare County,7451,6083.0,81.6,93,103,90.3,California
54,Tuolumne County,1915,0.0,0.0,0,17,0.0,California
55,Ventura County,8760,4860.0,55.50000000000001,87,180,48.3,California
56,Yolo County,2204,1654.0,75.0,31,50,62.0,California
57,Yuba County,597,221.0,37.0,8,19,42.1,California
